Name,AvatarEnum,QuestIndex,QuestTitle,QuestDescription,XpReward
53,"(Value=""Arjuna"")",3,"""Detachment Lesson""","""Emotional control test""",500
54,"(Value=""Arjuna"")",4,"""Victory Without Pride""","""Final Gita wisdom""",500
55,"(Value=""MilanBhima"")",0,"""The Mace of Thunder""","""Destroy a fortress gate in guild war""",500
56,"(Value=""MilanBhima"")",1,"""Strength Serves Justice""","""Defend the weak from 5 bandit raids""",500
57,"(Value=""MilanBhima"")",2,"""Bhima's Feast""","""Gather 108 sacred ingredients""",500
58,"(Value=""MilanBhima"")",3,"""River Crossing""","""Carry 10 allies across a hazard zone""",500
59,"(Value=""MilanBhima"")",4,"""The Mighty One""","""Deal 1,000,000 damage in a single war""",500
60,"(Value=""ArtemVudce"")",0,"""The Chief's Burden""","""Lead a guild of 50+ members for 30 days""",500
61,"(Value=""ArtemVudce"")",1,"""Rally Troops""","""Inspire 100 players simultaneously""",500
62,"(Value=""ArtemVudce"")",2,"""Council of Seven Rays""","""Form a full-spectrum alliance""",500
63,"(Value=""ArtemVudce"")",3,"""Lead by Example""","""Have the highest contribution in 10 wars""",500
64,"(Value=""ArtemVudce"")",4,"""The Round Table""","""Host a DAO governance summit""",500
65,"(Value=""MamaYashoda"")",0,"""Baby Krishna""","""Care for divine child mini-game""",500
66,"(Value=""MamaYashoda"")",1,"""The Butter Thief""","""Playful puzzle""",500
67,"(Value=""MamaYashoda"")",2,"""Cosmic Vision""","""See universe in Krishna's mouth""",500
68,"(Value=""MamaYashoda"")",3,"""Letting Go""","""Detachment lesson""",500
69,"(Value=""MamaYashoda"")",4,"""Blessing of Motherhood""","""Final heart opening""",500
70,"(Value=""Vishwakarma"")",0,"""The 108 Pillars""","""Build EKAM Temple""",500
71,"(Value=""Vishwakarma"")",1,"""Golden Ratio""","""Fibonacci pattern puzzle""",500
72,"(Value=""Vishwakarma"")",2,"""Platonic Solids""","""3D geometry challenge""",500
73,"(Value=""Vishwakarma"")",3,"""Source Code""","""Meta-game: find clues in game files""",500
74,"(Value=""Vishwakarma"")",4,"""Architect's Blessing""","""Unlock hidden areas""",500
75,"(Value=""Radha"")",0,"""The Eternal Dance""","""Complete the rasa lila rhythm mini-game""",500
76,"(Value=""Radha"")",1,"""Radha Kund Pilgrimage""","""Visit all 8 territory sacred lakes""",500
77,"(Value=""Radha"")",2,"""Love Transcends Form""","""Form a cross-guild friendship bond""",500
78,"(Value=""Radha"")",3,"""Divine Union""","""Complete a co-op quest with Krishna-Maitreya""",500
79,"(Value=""Radha"")",4,"""The Beloved's Devotion""","""Maintain 30-day daily streak""",500
80,"(Value=""VyasaKamil"")",0,"""The Mahabharata Recitation""","""Story comprehension""",500
81,"(Value=""VyasaKamil"")",1,"""18 Parvas""","""Complete 18 chapter challenges""",500
82,"(Value=""VyasaKamil"")",2,"""Ganesha's Pen""","""Writing puzzle""",500
83,"(Value=""VyasaKamil"")",3,"""Timeless Wisdom""","""Apply ancient lessons to modern problems""",500
84,"(Value=""VyasaKamil"")",4,"""Sage's Blessing""","""Unlock all lore entries""",500
85,"(Value=""MeriamRose"")",0,"""The Apostle of Apostles""","""Restore a forgotten sacred text""",500
86,"(Value=""MeriamRose"")",1,"""Rose of Sharon""","""Heal 1,000 players across all territories""",500
87,"(Value=""MeriamRose"")",2,"""Sacred Union""","""Form a divine partnership quest duo""",500
88,"(Value=""MeriamRose"")",3,"""Tears of Compassion""","""Comfort 100 distressed NPCs""",500
89,"(Value=""MeriamRose"")",4,"""The Garden Encounter""","""Discover the hidden resurrection spring""",500
90,"(Value=""YeshuaSananda"")",0,"""The Sermon on the Mount""","""Beatitudes teaching""",500
91,"(Value=""YeshuaSananda"")",1,"""Cleansing the Temple""","""Righteous anger vs compassion""",500
92,"(Value=""YeshuaSananda"")",2,"""The Last Supper""","""Unity ritual""",500
93,"(Value=""YeshuaSananda"")",3,"""Gethsemane Choice""","""Ultimate sacrifice test""",500
94,"(Value=""YeshuaSananda"")",4,"""Easter Dawn""","""Resurrection celebration""",500
95,"(Value=""PannaMaria"")",0,"""The Immaculate Conception""","""Find the sacred grail in hidden ruins""",500
96,"(Value=""PannaMaria"")",1,"""Hail Mary Protection""","""Shield 50 players from fatal damage""",500
97,"(Value=""PannaMaria"")",2,"""The Rosary Path""","""Complete 108 meditation beads cycle""",500
98,"(Value=""PannaMaria"")",3,"""Star of the Sea""","""Navigate the treacherous astral waters""",500
99,"(Value=""PannaMaria"")",4,"""Assumption to Heaven""","""Ascend to CL 6 in a single day""",500
100,"(Value=""Tara"")",0,"""The Twenty-One Praises""","""Find all 21 Tara shrines""",500
101,"(Value=""Tara"")",1,"""Liberation from Samsara""","""Free 100 trapped souls in shadow realms""",500
102,"(Value=""Tara"")",2,"""Green Tara's Swift Action""","""Complete 10 quests in under 1 hour""",500
103,"(Value=""Tara"")",3,"""White Tara's Long Life""","""Maintain 100-day daily streak""",500
104,"(Value=""Tara"")",4,"""The Bodhisattva Vow""","""Swear to liberate all beings before self""",500
105,"(Value=""Avalokiteshvara"")",0,"""The Thousand Arms""","""Help 1,000 different players""",500
106,"(Value=""Avalokiteshvara"")",1,"""Om Mani Padme Hum""","""Recite the mantra across 108 locations""",500
107,"(Value=""Avalokiteshvara"")",2,"""Compassion Without Limits""","""Forgive 100 enemy guild attackers""",500
108,"(Value=""Avalokiteshvara"")",3,"""Guanyin's Tears""","""Witness the world's suffering and heal it""",500
109,"(Value=""Avalokiteshvara"")",4,"""The All-Seeing Lord""","""Discover every hidden secret in OASIS""",500
110,"(Value=""Vajrasattva"")",0,"""The Hundred-Syllable Mantra""","""Chant the purification mantra 100 times""",500
111,"(Value=""Vajrasattva"")",1,"""Diamond Mind""","""Clear all negative karma points""",500
112,"(Value=""Vajrasattva"")",2,"""The Mirror of Truth""","""Face and defeat your shadow self""",500
113,"(Value=""Vajrasattva"")",3,"""Purification Fire""","""Burn away 108 attachments in ritual""",500
114,"(Value=""Vajrasattva"")",4,"""Vajra Body""","""Achieve perfect health status for 30 days""",500
115,"(Value=""DalaiLamaXIV"")",0,"""The Middle Way""","""Balance wisdom and compassion in 10 quests""",500
116,"(Value=""DalaiLamaXIV"")",1,"""Tibetan Freedom""","""Liberate a captured territory peacefully""",500
117,"(Value=""DalaiLamaXIV"")",2,"""Loving Kindness Meditation""","""Send metta to 100 players simultaneously""",500
118,"(Value=""DalaiLamaXIV"")",3,"""The Art of Happiness""","""Achieve maximum happiness score""",500
119,"(Value=""DalaiLamaXIV"")",4,"""Universal Responsibility""","""Lead a humanitarian tithe campaign""",500
120,"(Value=""ElMorya"")",0,"""First Awakening""","""Begin the sacred journey""",500
121,"(Value=""ElMorya"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
122,"(Value=""ElMorya"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
123,"(Value=""ElMorya"")",3,"""Divine Service""","""Serve the community selflessly""",500
124,"(Value=""ElMorya"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
125,"(Value=""Lanto"")",0,"""First Awakening""","""Begin the sacred journey""",500
126,"(Value=""Lanto"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
127,"(Value=""Lanto"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
128,"(Value=""Lanto"")",3,"""Divine Service""","""Serve the community selflessly""",500
129,"(Value=""Lanto"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
130,"(Value=""PaultheVenetian"")",0,"""First Awakening""","""Begin the sacred journey""",500
131,"(Value=""PaultheVenetian"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
132,"(Value=""PaultheVenetian"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
133,"(Value=""PaultheVenetian"")",3,"""Divine Service""","""Serve the community selflessly""",500
134,"(Value=""PaultheVenetian"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
135,"(Value=""SerapisBey"")",0,"""First Awakening""","""Begin the sacred journey""",500
136,"(Value=""SerapisBey"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
137,"(Value=""SerapisBey"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
138,"(Value=""SerapisBey"")",3,"""Divine Service""","""Serve the community selflessly""",500
139,"(Value=""SerapisBey"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
140,"(Value=""Hilarion"")",0,"""First Awakening""","""Begin the sacred journey""",500
141,"(Value=""Hilarion"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
142,"(Value=""Hilarion"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
143,"(Value=""Hilarion"")",3,"""Divine Service""","""Serve the community selflessly""",500
144,"(Value=""Hilarion"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
145,"(Value=""LadyNada"")",0,"""First Awakening""","""Begin the sacred journey""",500
146,"(Value=""LadyNada"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
147,"(Value=""LadyNada"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
148,"(Value=""LadyNada"")",3,"""Divine Service""","""Serve the community selflessly""",500
149,"(Value=""LadyNada"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
150,"(Value=""SaintGermain"")",0,"""The Alchemist's Laboratory""","""Transmutation puzzles""",500
151,"(Value=""SaintGermain"")",1,"""I AM Presence""","""Identity meditation""",500
152,"(Value=""SaintGermain"")",2,"""Freedom from Karma""","""Release past burdens""",500
153,"(Value=""SaintGermain"")",3,"""The Philosopher's Stone""","""Create spiritual gold""",500
154,"(Value=""SaintGermain"")",4,"""Violet Flame Blessing""","""Master transmutation""",500
155,"(Value=""SanatKumara"")",0,"""First Awakening""","""Begin the sacred journey""",500
156,"(Value=""SanatKumara"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
157,"(Value=""SanatKumara"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
158,"(Value=""SanatKumara"")",3,"""Divine Service""","""Serve the community selflessly""",500
159,"(Value=""SanatKumara"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
160,"(Value=""MahavatarBabaji"")",0,"""First Awakening""","""Begin the sacred journey""",500
161,"(Value=""MahavatarBabaji"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
162,"(Value=""MahavatarBabaji"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
163,"(Value=""MahavatarBabaji"")",3,"""Divine Service""","""Serve the community selflessly""",500
164,"(Value=""MahavatarBabaji"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
165,"(Value=""LadyGaiaVywamus"")",0,"""First Awakening""","""Begin the sacred journey""",500
166,"(Value=""LadyGaiaVywamus"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
167,"(Value=""LadyGaiaVywamus"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
168,"(Value=""LadyGaiaVywamus"")",3,"""Divine Service""","""Serve the community selflessly""",500
169,"(Value=""LadyGaiaVywamus"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
170,"(Value=""KingArthur"")",0,"""First Awakening""","""Begin the sacred journey""",500
171,"(Value=""KingArthur"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
172,"(Value=""KingArthur"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
173,"(Value=""KingArthur"")",3,"""Divine Service""","""Serve the community selflessly""",500
174,"(Value=""KingArthur"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
175,"(Value=""KarelIV"")",0,"""First Awakening""","""Begin the sacred journey""",500
176,"(Value=""KarelIV"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
177,"(Value=""KarelIV"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
178,"(Value=""KarelIV"")",3,"""Divine Service""","""Serve the community selflessly""",500
179,"(Value=""KarelIV"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
180,"(Value=""AlbertEinstein"")",0,"""First Awakening""","""Begin the sacred journey""",500
181,"(Value=""AlbertEinstein"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
182,"(Value=""AlbertEinstein"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
183,"(Value=""AlbertEinstein"")",3,"""Divine Service""","""Serve the community selflessly""",500
184,"(Value=""AlbertEinstein"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
185,"(Value=""MahatmaGandhi"")",0,"""First Awakening""","""Begin the sacred journey""",500
186,"(Value=""MahatmaGandhi"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
187,"(Value=""MahatmaGandhi"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
188,"(Value=""MahatmaGandhi"")",3,"""Divine Service""","""Serve the community selflessly""",500
189,"(Value=""MahatmaGandhi"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
190,"(Value=""Subhadra"")",0,"""First Awakening""","""Begin the sacred journey""",500
191,"(Value=""Subhadra"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
192,"(Value=""Subhadra"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
193,"(Value=""Subhadra"")",3,"""Divine Service""","""Serve the community selflessly""",500
194,"(Value=""Subhadra"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
195,"(Value=""Vasudeva"")",0,"""First Awakening""","""Begin the sacred journey""",500
196,"(Value=""Vasudeva"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
197,"(Value=""Vasudeva"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
198,"(Value=""Vasudeva"")",3,"""Divine Service""","""Serve the community selflessly""",500
199,"(Value=""Vasudeva"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
200,"(Value=""Neo"")",0,"""Red Pill / Blue Pill""","""Choice that defines path""",500
201,"(Value=""Neo"")",1,"""Training Simulation""","""Combat tutorial""",500
202,"(Value=""Neo"")",2,"""The Oracle's Prophecy""","""Meet ZION AI Oracle""",500
203,"(Value=""Neo"")",3,"""Agent Smith Battle""","""Boss fight (ego dissolution)""",500
204,"(Value=""Neo"")",4,"""I AM Neo""","""Self-realization ending""",500
205,"(Value=""Trinity"")",0,"""First Awakening""","""Begin the sacred journey""",500
206,"(Value=""Trinity"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
207,"(Value=""Trinity"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
208,"(Value=""Trinity"")",3,"""Divine Service""","""Serve the community selflessly""",500
209,"(Value=""Trinity"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
210,"(Value=""Morpheus"")",0,"""First Awakening""","""Begin the sacred journey""",500
211,"(Value=""Morpheus"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
212,"(Value=""Morpheus"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
213,"(Value=""Morpheus"")",3,"""Divine Service""","""Serve the community selflessly""",500
214,"(Value=""Morpheus"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
215,"(Value=""ZIONTheLastCity"")",0,"""First Awakening""","""Begin the sacred journey""",500
216,"(Value=""ZIONTheLastCity"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
217,"(Value=""ZIONTheLastCity"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
218,"(Value=""ZIONTheLastCity"")",3,"""Divine Service""","""Serve the community selflessly""",500
219,"(Value=""ZIONTheLastCity"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
220,"(Value=""SriDattatreya"")",0,"""First Awakening""","""Begin the sacred journey""",500
221,"(Value=""SriDattatreya"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
222,"(Value=""SriDattatreya"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
223,"(Value=""SriDattatreya"")",3,"""Divine Service""","""Serve the community selflessly""",500
224,"(Value=""SriDattatreya"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
225,"(Value=""MalyPrinc"")",0,"""First Awakening""","""Begin the sacred journey""",500
226,"(Value=""MalyPrinc"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
227,"(Value=""MalyPrinc"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
228,"(Value=""MalyPrinc"")",3,"""Divine Service""","""Serve the community selflessly""",500
229,"(Value=""MalyPrinc"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
230,"(Value=""Hiranyagarbha"")",0,"""First Awakening""","""Begin the sacred journey""",500
231,"(Value=""Hiranyagarbha"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
232,"(Value=""Hiranyagarbha"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
233,"(Value=""Hiranyagarbha"")",3,"""Divine Service""","""Serve the community selflessly""",500
234,"(Value=""Hiranyagarbha"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
235,"(Value=""SriKalkiAvatar"")",0,"""First Awakening""","""Begin the sacred journey""",500
236,"(Value=""SriKalkiAvatar"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
237,"(Value=""SriKalkiAvatar"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
238,"(Value=""SriKalkiAvatar"")",3,"""Divine Service""","""Serve the community selflessly""",500
239,"(Value=""SriKalkiAvatar"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
240,"(Value=""Elizabet"")",0,"""First Awakening""","""Begin the sacred journey""",500
241,"(Value=""Elizabet"")",1,"""Path of Dedication""","""Prove commitment through 7 trials""",500
242,"(Value=""Elizabet"")",2,"""Sacred Knowledge""","""Uncover the hidden teaching""",500
243,"(Value=""Elizabet"")",3,"""Divine Service""","""Serve the community selflessly""",500
244,"(Value=""Elizabet"")",4,"""Ultimate Realization""","""Attain the highest truth""",500
